row_id,salt,source_table,source_pdf_page,source_printed_page,molality_mol_kg,osmotic_coefficient,gamma_pm_m,phi_table8_binding,gamma_table8_binding,miac_repository_path,miac_repository_sha256,miac_repository_row_status,osmotic_repository_candidate,osmotic_repository_row_status
HW1972-T9-LiCl-m0.7,LiCl,9,18,1063,0.7,0.985,0.748,DIRECT_HAMER_WU_NOT_EXACT_HASLAM_SUBSET,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiCl.csv,11cff6dcdb6fe0e8efc19d182243f1cc2b94eafc966f3bcfdc8c05e97c06543e,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T9-LiCl-m0.8,LiCl,9,18,1063,0.8,0.996,0.756,DIRECT_HAMER_WU_NOT_EXACT_HASLAM_SUBSET,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiCl.csv,11cff6dcdb6fe0e8efc19d182243f1cc2b94eafc966f3bcfdc8c05e97c06543e,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T9-LiCl-m0.9,LiCl,9,18,1063,0.9,1.008,0.765,DIRECT_HAMER_WU_NOT_EXACT_HASLAM_SUBSET,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiCl.csv,11cff6dcdb6fe0e8efc19d182243f1cc2b94eafc966f3bcfdc8c05e97c06543e,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T9-LiCl-m1,LiCl,9,18,1063,1,1.02,0.775,DIRECT_HAMER_WU_NOT_EXACT_HASLAM_SUBSET,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiCl.csv,11cff6dcdb6fe0e8efc19d182243f1cc2b94eafc966f3bcfdc8c05e97c06543e,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T9-LiCl-m1.2,LiCl,9,18,1063,1.2,1.044,0.798,DIRECT_HAMER_WU_NOT_EXACT_HASLAM_SUBSET,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiCl.csv,11cff6dcdb6fe0e8efc19d182243f1cc2b94eafc966f3bcfdc8c05e97c06543e,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T9-LiCl-m1.4,LiCl,9,18,1063,1.4,1.068,0.825,DIRECT_HAMER_WU_NOT_EXACT_HASLAM_SUBSET,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiCl.csv,11cff6dcdb6fe0e8efc19d182243f1cc2b94eafc966f3bcfdc8c05e97c06543e,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T9-LiCl-m1.6,LiCl,9,18,1063,1.6,1.093,0.855,DIRECT_HAMER_WU_NOT_EXACT_HASLAM_SUBSET,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiCl.csv,11cff6dcdb6fe0e8efc19d182243f1cc2b94eafc966f3bcfdc8c05e97c06543e,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T9-LiCl-m1.8,LiCl,9,18,1063,1.8,1.119,0.888,DIRECT_HAMER_WU_NOT_EXACT_HASLAM_SUBSET,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiCl.csv,11cff6dcdb6fe0e8efc19d182243f1cc2b94eafc966f3bcfdc8c05e97c06543e,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T9-LiCl-m2,LiCl,9,18,1063,2,1.145,0.924,DIRECT_HAMER_WU_NOT_EXACT_HASLAM_SUBSET,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiCl.csv,11cff6dcdb6fe0e8efc19d182243f1cc2b94eafc966f3bcfdc8c05e97c06543e,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T9-LiCl-m2.5,LiCl,9,18,1063,2.5,1.213,1.029,DIRECT_HAMER_WU_NOT_EXACT_HASLAM_SUBSET,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiCl.csv,11cff6dcdb6fe0e8efc19d182243f1cc2b94eafc966f3bcfdc8c05e97c06543e,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T9-LiCl-m3,LiCl,9,18,1063,3,1.284,1.157,DIRECT_HAMER_WU_NOT_EXACT_HASLAM_SUBSET,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiCl.csv,11cff6dcdb6fe0e8efc19d182243f1cc2b94eafc966f3bcfdc8c05e97c06543e,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m0.001,LiBr,10,19,1064,0.001,0.989,0.965,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m0.002,LiBr,10,19,1064,0.002,0.984,0.952,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m0.005,LiBr,10,19,1064,0.005,0.977,0.929,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m0.01,LiBr,10,19,1064,0.01,0.97,0.905,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
