ethanol_mass_percent,molality_mol_kg,gamma_pm_m_literature,gamma_pm_m_model,error,abs_error,parameter_fingerprint
40,0.008958,0.853,0.8589640359862047,0.005964035986204763,0.005964035986204763,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,0.01997,0.804,0.8077674258008292,0.003767425800829116,0.003767425800829116,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,0.03055,0.768,0.7764413410480013,0.008441341048001316,0.008441341048001316,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,0.04,0.737,0.7553235204814617,0.018323520481461686,0.018323520481461686,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,0.05001,0.716,0.7372218839521611,0.02122188395216118,0.02122188395216118,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,0.06,0.699,0.7221411348240022,0.023141134824002263,0.023141134824002263,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,0.07001,0.691,0.7091938928756052,0.018193892875605244,0.018193892875605244,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,0.07998,0.674,0.6979315036953532,0.02393150369535313,0.02393150369535313,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,0.09003,0.665,0.687873100926352,0.022873100926351975,0.022873100926351975,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,0.09988,0.648,0.6790317486075577,0.03103174860755764,0.03103174860755764,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,0.1998,0.6,0.6205137029684135,0.020513702968413483,0.020513702968413483,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,0.2996,0.563,0.5874850737236909,0.02448507372369091,0.02448507372369091,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,0.4001,0.538,0.5645039810610362,0.02650398106103613,0.02650398106103613,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,0.5002,0.518,0.5469402518912589,0.028940251891258928,0.028940251891258928,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,0.6016,0.508,0.5323660930916995,0.02436609309169946,0.02436609309169946,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,0.8001,0.49,0.509311120621831,0.019311120621831046,0.019311120621831046,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
